AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A717188,Lennon,,Dog,Neutered Male,9 years,Labrador Retriever Mix,Black,Return_to_owner
A684686,Prince,,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White,Adoption
A682762,Gabby,,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White,Return_to_owner
A716683,,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,White,Euthanasia
A717348,,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A666371,Bella,,Dog,Spayed Female,2 years,Border Collie/Great Pyrenees,White/Black,Return_to_owner
A703638,Henry,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange/White,Adoption
A695044,Sky,,Dog,Spayed Female,9 months,Pit Bull Mix,White/Blue,Adoption
A669699,,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,Transfer
A693151,Oreto,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White,Return_to_owner
A670055,,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Black/Cream,Adoption
A680424,,,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Tan/Black,Adoption
A703662,Joyce,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,Return_to_owner
A689828,Barbie,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White,Adoption
A664238,,Medical,Cat,Unknown,4 months,American Shorthair Mix,Black/White,Euthanasia
A712440,Mary Kate,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A687767,Zoey,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico,Adoption
A682900,Ellie,,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown,Return_to_owner
A710550,,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,Transfer
A696163,Austin,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/White,Transfer
A670355,Mickey,Partner,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/White,Transfer
A699539,,Partner,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,White/Black,Transfer
A693710,Roscoe,,Dog,Neutered Male,10 months,Catahoula Mix,Tan/White,Adoption
A664974,Jeffie,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A684059,,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,Euthanasia
A685783,Gabby,,Dog,Spayed Female,5 months,Chihuahua Shorthair,Black/Tan,Adoption
A678664,Gloria,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,Adoption
A691571,Autumn,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,Transfer
A590157,Snowball,,Dog,Spayed Female,7 years,Pit Bull Mix,White/Brown Brindle,Return_to_owner
A692864,Page,,Dog,Spayed Female,2 years,Bloodhound Mix,Brown/Black,Return_to_owner
A697479,,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black,Euthanasia
A706470,,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue Tabby/White,Adoption
A701475,Rosie,,Dog,Spayed Female,9 years,Pug,Tan/Black,Return_to_owner
A341599,Reece,Partner,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Black,Transfer
A712516,Amber,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A687811,Ringo,Partner,Dog,Intact Male,3 months,Labrador Retriever/Australian Shepherd,Brown/White,Transfer
A675778,,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A693296,,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Blue/White,Transfer
A700809,,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A692687,,,Dog,Spayed Female,11 months,Italian Greyhound Mix,Buff,Adoption
A702764,,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A671399,Chomper Jr,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Black,Return_to_owner
A704390,Romeo,Partner,Dog,Neutered Male,5 years,St. Bernard Smooth Coat,Tricolor,Transfer
A718860,Nike,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,Adoption
A614362,Remy,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A698730,Pompin,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A707807,,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,Adoption
A695258,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Black,Transfer
A672259,Jake,,Dog,Neutered Male,8 years,Manchester Terrier Mix,Black/Brown,Return_to_owner
A712389,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,Transfer
A674663,,Partner,Dog,Intact Male,4 weeks,Chow Chow Mix,Sable/Black,Transfer
A704351,Cinnamon,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Transfer
A597131,Austin,,Dog,Neutered Male,4 years,Bluetick Hound Mix,Brown Merle/White,Adoption
A698682,Alaska,,Dog,Spayed Female,1 year,Siberian Husky Mix,Black/White,Adoption
A696721,,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue,Euthanasia
A715716,Margo,,Dog,Spayed Female,9 months,German Shepherd Mix,Brown,Return_to_owner
A687593,,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A673477,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A704732,Love Bug,,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,White/Tan,Adoption
A677813,Wren,In Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Died
A702956,Sugar,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Calico,Adoption
A667113,Simon,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black/White,Return_to_owner
A706629,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A695053,,SCRP,Cat,Unknown,3 years,Domestic Shorthair Mix,Black,Transfer
A716842,Honey,,Dog,Spayed Female,3 years,German Shepherd/Labrador Retriever,Red/Tan,Return_to_owner
A707186,Misty,Foster,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Blue Tabby,Adoption
A592707,Sarang,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue Tabby,Return_to_owner
A702945,,Suffering,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White,Euthanasia
A685503,Brodie,,Dog,Intact Male,10 years,Boxer Mix,Brown,Return_to_owner
A714971,Felipe,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A671307,Bubbles,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A685752,Piper,,Dog,Spayed Female,4 months,Collie Smooth Mix,Tricolor,Adoption
A692364,Caramel,Partner,Cat,Neutered Male,1 year,Snowshoe Mix,Blue Point,Transfer
A695130,Jack,,Dog,Neutered Male,3 years,Yorkshire Terrier Mix,Black/Tan,Adoption
A703630,Sheldon,Foster,Dog,Neutered Male,4 years,German Shepherd Mix,Brown,Adoption
A708711,,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,Transfer
A716648,Blaze,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue/White,Transfer
A678051,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,Transfer
A681764,,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Calico,Transfer
A694756,Gus,,Dog,Neutered Male,13 years,Labrador Retriever Mix,Black,Return_to_owner
A663273,Diamond,Behavior,Dog,Spayed Female,2 years,Catahoula Mix,Tan/Yellow Brindle,Euthanasia
A720058,Nacho,,Cat,Neutered Male,9 years,Domestic Longhair Mix,White/Yellow,Return_to_owner
A704592,Doshia,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Adoption
A672540,Jane,Foster,Dog,Spayed Female,5 months,Newfoundland Mix,Black/White,Adoption
A684616,,,Dog,Spayed Female,2 months,German Shepherd/Catahoula,Sable,Adoption
A695670,,Suffering,Dog,Intact Male,1 month,Pit Bull Mix,Black Brindle/White,Euthanasia
A691797,Tabitha,Partner,Dog,Intact Female,5 years,Dachshund,Red Merle/White,Transfer
A690638,Autumn,Foster,Dog,Spayed Female,4 years,Pointer/Harrier,Chocolate/White,Adoption
A675105,,Partner,Dog,Spayed Female,5 years,Dachshund Mix,Black/Tan,Transfer
A631379,Moon Pie,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby/White,Adoption
A663953,Grumpy,Partner,Dog,Neutered Male,5 months,Pit Bull Mix,Black/White,Transfer
A711384,Boss,,Dog,Neutered Male,7 months,Siberian Husky/German Shepherd,Brown Merle,Return_to_owner
A692093,Shaina,Partner,Dog,Spayed Female,8 months,Pit Bull Mix,Red/White,Transfer
A696000,Pepper,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A671236,Grayson,,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black/White,Adoption
A703316,Shadow,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable,Return_to_owner
A549282,Emmitt,,Dog,Neutered Male,6 years,Pit Bull,Brown Brindle/White,Adoption
A682748,Jefferson,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Cream Tabby,Adoption
A664157,Ponyo,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tricolor,Adoption
A682585,,Suffering,Dog,Spayed Female,8 years,Shih Tzu Mix,Gray/Black,Euthanasia
A602764,Pablo,,Dog,Neutered Male,5 years,Pit Bull Mix,White/Tan,Return_to_owner
A698137,Teddy,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,Return_to_owner
A715372,Jasmine,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,Adoption
A680550,Solomon,Partner,Dog,Intact Male,2 months,Labrador Retriever/Great Pyrenees,White,Transfer
A504280,Duke,,Dog,Neutered Male,6 years,Flat Coat Retriever Mix,Black/White,Return_to_owner
A701846,Miss Fish,,Dog,Spayed Female,9 years,Labrador Retriever Mix,White/Black,Return_to_owner
A678976,Major,Aggressive,Dog,Intact Male,1 year,American Bulldog/Pit Bull,White/Brown,Euthanasia
A668000,Corky,Partner,Dog,Intact Male,6 months,Entlebucher Mix,Black/Tan,Transfer
A684122,Mitch,,Dog,Neutered Male,12 years,Standard Schnauzer Mix,Gray,Return_to_owner
A695743,Wishbone,,Dog,Neutered Male,3 years,Border Collie/Australian Shepherd,Black/White,Return_to_owner
A687655,,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Black/Tan,Transfer
A714595,Honeybear,,Dog,Spayed Female,1 year,Boxer Mix,White/Black,Adoption
A694793,,Partner,Dog,Spayed Female,10 months,Labrador Retriever Mix,Black,Transfer
A681982,,,Dog,Neutered Male,5 years,Jack Russell Terrier Mix,White/Brown,Adoption
A687176,Callie,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Orange Tabby,Return_to_owner
A619073,Rocco,Partner,Dog,Neutered Male,3 years,Miniature Pinscher/Chihuahua Shorthair,Tan/Black,Transfer
A704761,Zooey,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A692521,Coby,,Dog,Neutered Male,2 years,Pit Bull Mix,Fawn/White,Adoption
A693581,Genghis,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,Return_to_owner
A707364,Louie,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A707640,Jake,,Dog,Intact Male,2 years,Basset Hound Mix,Tricolor,Return_to_owner
A665485,Bratt,Partner,Dog,Neutered Male,5 years,Boston Terrier/Beagle,Brown Brindle/White,Transfer
A690540,Buddy,Partner,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue/White,Transfer
A697484,,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue,Transfer
A716857,Banana,Partner,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A613821,Rosie,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,Tan/White,Adoption
A704184,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,Transfer
A711812,,Partner,Dog,Intact Male,3 years,Jack Russell Terrier/Shih Tzu,White/Brown,Transfer
A705062,,Partner,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White,Transfer
A654218,D.O.G.,,Dog,Neutered Male,9 months,Pit Bull Mix,Black/White,Return_to_owner
A706894,Fargo,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A702445,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Transfer
A702188,Judge,Partner,Dog,Neutered Male,10 months,German Shepherd Mix,Black/Tan,Transfer
A691343,,,Dog,Spayed Female,2 months,Australian Shepherd Mix,White/Black,Adoption
A687946,,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby/White,Transfer
A687790,Pancho,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Tan,Transfer
A666540,Martini,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A669365,Daisy,,Dog,Spayed Female,5 months,Boxer Mix,Brown/White,Adoption
A699875,,Partner,Dog,Intact Female,1 month,Rat Terrier Mix,Tricolor,Transfer
A713857,,Partner,Dog,Intact Female,7 months,Dachshund Longhair Mix,Black/Tan,Transfer
A692807,Aiden,,Dog,Neutered Male,8 years,Anatol Shepherd Mix,Brown Brindle/White,Return_to_owner
A678764,,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,White/Blue,Transfer
A673531,Ooli,,Dog,Spayed Female,3 years,Labrador Retriever/Pit Bull,Buff,Return_to_owner
A683813,Lilly,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A689024,Tookies,,Dog,Spayed Female,5 years,Chihuahua Longhair Mix,Tan/White,Adoption
A676890,Charlie,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown/White,Return_to_owner
A693933,Simba,Partner,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Blue Tabby/White,Transfer
A576866,Max,,Dog,Neutered Male,7 years,Pit Bull,Tan/White,Return_to_owner
A664266,,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Buff,Transfer
A684400,Riley,Suffering,Dog,Neutered Male,9 years,Doberman Pinsch,Red/Tan,Euthanasia
A665776,,Suffering,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White,Euthanasia
A668183,Nacha,,Dog,Spayed Female,2 years,Dachshund Mix,Black/White,Return_to_owner
A676814,Doug,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,Adoption
A655545,Shortround,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Silver Tabby/White,Adoption
A682460,Scout,,Dog,Spayed Female,2 years,Bruss Griffon/Yorkshire Terrier,Tricolor,Adoption
A687377,,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,White,Transfer
A643742,Smokey,Partner,Dog,Neutered Male,7 years,St. Bernard Rough Coat/Labrador Retriever,Black/Brown Brindle,Transfer
A705116,,Partner,Dog,Intact Male,2 days,German Shepherd Mix,Chocolate,Transfer
A684363,Faith,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie/Blue Cream,Adoption
A661699,,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A704692,Harriet,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Fawn,Adoption
A678196,Baby,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Tortie/Orange,Adoption
A668421,Babaloo,Aggressive,Dog,Neutered Male,2 years,American Bulldog Mix,Brown/White,Euthanasia
A675058,Lucky,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue,Adoption
A694691,,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Fawn,Return_to_owner
A694821,Rocko,,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan,Return_to_owner
A670795,Snowball,Partner,Cat,Intact Female,4 months,Snowshoe Mix,Chocolate Point/White,Transfer
A672449,,Behavior,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White,Euthanasia
A671431,Tina,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Chocolate,Adoption
A690336,Buster,,Dog,Neutered Male,4 years,Dachshund Mix,Black/Tan,Return_to_owner
A700810,Luther,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A702839,Tort,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A703601,Hope,Foster,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Brown Tabby,Adoption
A667195,Luna,,Dog,Spayed Female,7 years,Labrador Retriever/Beagle,Black/White,Adoption
A665362,Jezzy,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,Transfer
A708878,Kita,Foster,Dog,Spayed Female,2 months,Catahoula Mix,White/Black,Adoption
A687945,,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,Transfer
A668923,Happy,,Dog,Spayed Female,1 year,Blue Lacy Mix,Blue,Adoption
A671675,Catman,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby,Adoption
A689402,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Transfer
A709968,Taco,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/White,Transfer
A659887,Roy,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,Adoption
A719515,Blu,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Black,Adoption
A690092,Baily,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,Adoption
A713243,,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Black,Transfer
A678763,Snowflake,,Cat,Spayed Female,8 months,Siamese Mix,Lynx Point,Adoption
A711607,Bosco,,Cat,Neutered Male,2 months,Manx Mix,White/Black,Adoption
A676589,Duke,,Dog,Neutered Male,2 years,Labrador Retriever/German Shepherd,Black,Adoption
A693497,Chuy,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A706398,Sammy,,Cat,Neutered Male,1 month,Domestic Shorthair,Cream Tabby,Adoption
A711694,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Gray Tabby,Transfer
A712669,,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Cream Tabby,Transfer
A684453,,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue Tabby,Transfer
A706316,Jupiter,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,Adoption
A716739,Douglas,Partner,Dog,Intact Male,3 years,Labrador Retriever Mix,Tricolor,Transfer
A686616,,Medical,Dog,Intact Male,5 years,Yorkshire Terrier Mix,Brown/Gray,Euthanasia
A712552,Bear,,Dog,Intact Male,4 years,Great Pyrenees Mix,White,Return_to_owner
A689085,Sosa,Partner,Dog,Neutered Male,1 year,American Bulldog/Labrador Retriever,White/Blue,Transfer
A660172,Sierra,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black,Adoption
A670660,Hank,Foster,Dog,Neutered Male,3 years,Vizsla/Boxer,Brown,Adoption
A687552,,,Dog,Neutered Male,10 months,Miniature Pinscher Mix,Black/Tan,Adoption
A716902,Buddy,Partner,Dog,Neutered Male,4 years,Miniature Poodle Mix,White,Transfer
A677091,Zelda,,Cat,Spayed Female,4 months,Siamese,Flame Point,Adoption
A666446,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,Transfer
A709979,Jackson,Partner,Cat,Neutered Male,1 year,Domestic Shorthair,White/Orange,Transfer
A707245,Sophia,,Dog,Intact Female,2 months,Labrador Retriever Mix,Buff,Adoption
A702592,Skylar,,Dog,Spayed Female,1 year,Miniature Poodle Mix,White/Brown,Adoption
A698675,Parker,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,Transfer
A682493,,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A658812,Zoom,Partner,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Blue,Transfer
A687785,Bella,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White,Adoption
A712675,Lady,,Dog,Spayed Female,6 years,Australian Shepherd Mix,Tricolor,Return_to_owner
A689291,Jolene,,Dog,Intact Female,2 years,Boxer Mix,Brown/White,Return_to_owner
A707085,Abbie,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A688618,Mona,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Black,Adoption
A671145,Moose,,Dog,Neutered Male,2 years,Bull Terrier Mix,White/Brown,Return_to_owner
A665213,Mariah,Partner,Dog,Intact Female,2 years,Labrador Retriever,Cream,Transfer
A698448,,,Dog,Neutered Male,5 years,Miniature Poodle Mix,White,Adoption
A701932,Ashley,,Dog,Spayed Female,5 years,Labrador Retriever/German Shepherd,Black,Adoption
A717911,Charlotte,Partner,Dog,Spayed Female,2 months,Chesa Bay Retr Mix,Chocolate,Transfer
A695636,,Foster,Dog,Spayed Female,1 month,Border Collie Mix,Sable/White,Adoption
A687230,Lydia,,Dog,Spayed Female,2 years,Boston Terrier/Pug,Sable/White,Adoption
A666443,Darla,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,Transfer
A676294,Princess,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair,Buff,Transfer
A691490,Dixie,,Dog,Spayed Female,8 months,Manchester Terrier Mix,Brown Brindle,Adoption
A720973,,SCRP,Cat,Unknown,,Domestic Shorthair Mix,Gray Tabby,Transfer
A678119,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue/White,Transfer
A681508,,Partner,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Red/White,Transfer
A681959,Sadie,Foster,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,Tan/Black,Adoption
A676144,Koko,,Dog,Spayed Female,2 years,Dachshund Mix,Brown Brindle,Return_to_owner
A694733,Iris,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,Transfer
A689107,Toba,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A686533,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,Transfer
A717049,Greg,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,Transfer
A712277,Farrah,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,Adoption
A672695,,SCRP,Cat,Unknown,3 years,Domestic Longhair Mix,Brown Tabby/White,Transfer
A717850,Jodi,Offsite,Dog,Spayed Female,2 years,Dachshund/Pit Bull,Brown/White,Adoption
A676868,Pinkie Pie,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,Adoption
A681061,Catnip,Partner,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A697369,,,Dog,Spayed Female,2 years,Golden Retriever/Beagle,Brown/White,Adoption
A719347,Indy,,Cat,Neutered Male,2 years,Snowshoe Mix,Lynx Point/White,Adoption
A674574,Harmony,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair/Dachshund,Black/White,Transfer
A704623,Tumblr,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A665650,,Partner,Dog,Spayed Female,1 year,Chow Chow/Basset Hound,Red,Transfer
